datetime,open,high,low,close,volume,turnover
2020-01-02,71.34405442839761,72.39408555090253,71.0911838210517,72.33387756347656,135480400.0,
2020-01-03,71.56321309934685,72.38926493117573,71.40667380039741,71.63064575195312,146322800.0,
2020-01-06,70.75402098693286,72.23995000976231,70.50355369984423,72.201416015625,118387200.0,
2020-01-07,72.21103349810856,72.46631471524569,71.64267376172208,71.86183166503906,108872000.0,
2020-01-08,71.56562119935828,73.31887745373415,71.56562119935828,73.01783752441406,132079200.0,
2020-01-09,73.99320238999518,74.76145686133366,73.74274246581768,74.56879425048828,170108400.0,
2020-01-10,74.80239504412852,75.30091887725054,74.23643856809193,74.73736572265625,140644800.0,
2020-01-13,75.05285582286368,76.36057125816924,74.9348431957367,76.33407592773438,121532000.0,
2020-01-14,76.27149402827726,76.48101668324267,75.18052540962947,75.3033447265625,161954400.0,
2020-01-15,75.10344798902688,75.98248317068368,74.54953007278792,74.98062133789062,121923600.0,
2020-01-16,75.52248959606675,76.03064882750155,75.1612416745226,75.91986083984375,108829200.0,
2020-01-17,76.16790890123319,76.7627640392473,75.86205500785368,76.76036071777344,137816400.0,
2020-01-21,76.38949561952354,76.83021490503033,76.10290497799846,76.24018096923828,110843200.0,
2020-01-22,76.72423978617735,77.06381371935198,76.41838585398544,76.51231384277344,101832400.0,
2020-01-23,76.56528622859716,76.96024675038308,76.01859307367198,76.88077545166016,104472000.0,
2020-01-24,77.1264324079885,77.86819158420508,76.46895853504518,76.65921783447266,146537600.0,
2020-01-27,74.67236453066312,75.08418516629278,73.42485661478304,74.40504455566406,161940000.0,
2020-01-28,75.28406170066347,76.68088393464757,75.18531972883665,76.50989532470703,162234000.0,
2020-01-29,78.13794553717628,78.95677286932231,77.39858953140283,78.1114501953125,216229200.0,
2020-01-30,77.19628560206807,78.05123619869995,76.7651942962083,77.99825286865234,126743200.0,
2020-01-31,77.29019066933044,77.71164655303768,74.24607885109228,74.5398941040039,199588400.0,
2020-02-03,73.28515870612867,75.4984048922783,72.78423148900761,74.33518981933594,173788400.0,
2020-02-04,75.93671379066781,76.9795201431656,75.53211792000401,76.78926086425781,136616400.0,
2020-02-05,77.91396003658885,78.21259669148851,76.81336346644713,77.41544342041016,118826800.0,
2020-02-06,77.68515330009288,78.32335641079244,77.12883215929374,78.3209457397461,105425600.0,
2020-02-07,77.82124622907054,78.06989154294402,76.76631409771366,77.25636291503906,117684000.0,
2020-02-10,75.8441484328751,77.623291015625,75.7644885208781,77.623291015625,109348800.0,
2020-02-11,78.11818867514276,78.19060679185898,76.93772180330761,77.15498352050781,94323200.0,
2020-02-12,77.60399117788235,78.99206144129231,77.60399117788235,78.98723602294922,113730400.0,
2020-02-13,78.26059867524006,78.75064746940821,78.05782062596876,78.42475128173828,94747600.0,
2020-02-14,78.39338411922328,78.69272952184373,77.93713525426901,78.44408416748047,80113600.0,
2020-02-18,76.12900107799734,77.1887659353896,75.94794846047884,77.0077133178711,152531200.0,
2020-02-19,77.24912913343354,78.35234502696264,77.24912913343354,78.12300872802734,93984000.0,
2020-02-20,77.88401513292217,78.37164756799683,76.81700838375629,77.32154083251953,100566000.0,
2020-02-21,76.91596913601705,77.35774159273006,74.95577422235982,75.57135009765625,129554000.0,
2020-02-24,71.75960997813098,73.43011814732492,69.8211400810818,71.98169708251953,222195200.0,
2020-02-25,72.65038734565039,73.03180163978591,69.07278565467855,69.54351806640625,230673600.0,
2020-02-26,69.16934783382864,71.90927916190874,69.16210602316792,70.64673614501953,198054800.0,
2020-02-27,67.85852144500781,69.04139705399142,65.8934935311334,66.02867889404297,320605600.0,
2020-02-28,62.10346116385855,67.20914325476264,61.88860853206062,65.99005126953125,426510000.0,
2020-03-02,68.14336012975559,72.76865074645058,67.04256107502337,72.13375854492188,341397200.0,
2020-03-03,73.30701482551375,73.38667475068135,68.99312746023453,69.8428726196289,319475600.0,
2020-03-04,71.56165746891385,73.24182384454771,70.76261243598904,73.0824966430664,219178400.0,
2020-03-05,71.33954185333918,72.31239742072097,70.34737725228122,70.71189880371094,187572800.0,
2020-03-06,68.07576147444787,70.20494131418688,67.88988350128237,69.7728271484375,226176800.0,
2020-03-09,63.670171942415024,67.13189718407227,63.489119320777824,64.2543716430664,286744800.0,
2020-03-10,66.90258302825225,69.14763308452109,65.0268727397902,68.88208770751953,285290000.0,
2020-03-11,66.96294054735044,67.88751298901103,65.62797171834961,66.48978424072266,255598800.0,
2020-03-12,61.78481820985721,65.17895115078981,59.86807364961435,59.9235954284668,418474000.0,
2020-03-13,63.94538830639056,67.5736832780311,61.06302571813862,67.10294342041016,370732000.0,
2020-03-16,58.40757346412376,62.54281272853614,57.93683739697829,58.470340728759766,322423600.0,
2020-03-17,59.74978379495811,62.187957132183904,57.55059758461941,61.04129409790039,324056000.0,
2020-03-18,57.88132191691277,60.35087884798524,57.24160039100893,59.54700469970703,300233600.0,
2020-03-19,59.72081110917334,61.0364594340634,58.566902685612334,59.09074783325195,271857200.0,
2020-03-20,59.67012417482383,60.792652825729554,55.04000612907548,55.33934783935547,401693200.0,
2020-03-23,55.05931255400759,55.16070158535809,51.32479999006741,54.16370391845703,336752800.0,
2020-03-24,57.05813597182242,59.79323828764549,56.56084531140466,59.59770202636719,287531200.0,
2020-03-25,60.53192941719469,62.34245572079971,58.97487753279941,59.26939010620117,303602000.0,
2020-03-26,59.51079165439952,62.446255405203736,59.47216621048136,62.38832092285156,252087200.0,
2020-03-27,61.01473571142301,61.767913466106,59.63873647362711,59.80530548095703,204216800.0,
2020-03-30,60.52951361729588,61.68342202785463,60.20603013475776,61.51202392578125,167976400.0,
2020-03-31,61.70274686140532,63.36601343634172,60.83369263605144,61.386505126953125,197002000.0,
2020-04-01,59.50596558883749,60.04188167908633,57.72682288768837,58.15652084350586,176218400.0,
2020-04-02,58.01891951220774,59.18006982201146,57.1884908369524,59.12696075439453,165934000.0,
